tick, C0 sequence, C0 pattern, C0 pattern name, C0 row, C0 note, C1 sequence, C1 pattern, C1 pattern name, C1 row, C1 note
214, 3, 0, left 5, 22,  23: C#4 I1 45, 3, 1, right 5, 22,  23: F#2 I2 16
215, 3, 0, left 5, 23,  24:    |, 3, 1, right 5, 23,  24:    |
216, 3, 0, left 5, 24,  25:    |, 3, 1, right 5, 24,  25:    |
217, 3, 0, left 5, 25,  26:    |, 3, 1, right 5, 25,  26:    |
218, 3, 0, left 5, 26,  27:    |, 3, 1, right 5, 26,  27:    |
219, 3, 0, left 5, 27,  28:    |, 3, 1, right 5, 27,  28:   ---
220, 3, 0, left 5, 28,  29: G#3 I1 50, 3, 1, right 5, 28,  29:    |
221, 3, 0, left 5, 29,  30: G#3 I1 50, 3, 1, right 5, 29,  30:    |
222, 3, 0, left 5, 30,  31: A#3 I1 48, 3, 1, right 5, 30,  31:    |
223, 3, 0, left 5, 31,  32: G#3 I1 50, 3, 1, right 5, 31,  32:    |
224, 3, 0, left 5, 32,  33: C#4 I1 45, 3, 1, right 5, 32,  33: F#2 I2 16
225, 3, 0, left 5, 33,  34:    |, 3, 1, right 5, 33,  34:    |
226, 3, 0, left 5, 34,  35:    |, 3, 1, right 5, 34,  35:    |
227, 3, 0, left 5, 35,  36:    |, 3, 1, right 5, 35,  36:    |
228, 3, 0, left 5, 36,  37: D#4 I1 44, 3, 1, right 5, 36,  37:    |
229, 3, 0, left 5, 37,  38:    |, 3, 1, right 5, 37,  38:   ---
230, 3, 0, left 5, 38,  39: C-4 I1 46, 3, 1, right 5, 38,  39: G#2 I2 14
231, 3, 0, left 5, 39,  40:    |, 3, 1, right 5, 39,  40:    |
232, 3, 0, left 5, 40,  41:    |, 3, 1, right 5, 40,  41:    |
233, 3, 0, left 5, 41,  42: A#3 I1 48, 3, 1, right 5, 41,  42:    |
234, 3, 0, left 5, 42,  43: G#3 I1 50, 3, 1, right 5, 42,  43:    |
235, 3, 0, left 5, 43,  44:    |, 3, 1, right 5, 43,  44:   ---
236, 3, 0, left 5, 44,  45:    |, 3, 1, right 5, 44,  45:    |
237, 3, 0, left 5, 45,  46:    |, 3, 1, right 5, 45,  46:    |
238, 3, 0, left 5, 46,  47: G#3 I1 50, 3, 1, right 5, 46,  47:    |
239, 3, 0, left 5, 47,  48:    |, 3, 1, right 5, 47,  48:    |
240, 3, 0, left 5, 48,  49: D#4 I1 44, 3, 1, right 5, 48,  49: F-2 I2 17
241, 3, 0, left 5, 49,  50:    |, 3, 1, right 5, 49,  50:    |
242, 3, 0, left 5, 50,  51:    |, 3, 1, right 5, 50,  51:    |
243, 3, 0, left 5, 51,  52:    |, 3, 1, right 5, 51,  52:    |
244, 3, 0, left 5, 52,  53: C#4 I1 45, 3, 1, right 5, 52,  53:    |
245, 3, 0, left 5, 53,  54:    |, 3, 1, right 5, 53,  54:   ---
246, 3, 0, left 5, 54,  55:    |, 3, 1, right 5, 54,  55: F#2 I2 16
247, 3, 0, left 5, 55,  56:    |, 3, 1, right 5, 55,  56:    |
248, 3, 0, left 5, 56,  57:    |, 3, 1, right 5, 56,  57:    |
249, 3, 0, left 5, 57,  58:    |, 3, 1, right 5, 57,  58:    |
250, 3, 0, left 5, 58,  59:    |, 3, 1, right 5, 58,  59:    |
251, 3, 0, left 5, 59,  60:    |, 3, 1, right 5, 59,  60:   ---
252, 3, 0, left 5, 60,  61: G#3 I1 50, 3, 1, right 5, 60,  61:    |
253, 3, 0, left 5, 61,  62: G#3 I1 50, 3, 1, right 5, 61,  62:    |
254, 3, 0, left 5, 62,  63: A#3 I1 48, 3, 1, right 5, 62,  63:    |
255, 3, 0, left 5, 63,  64: G#3 I1 50, 3, 1, right 5, 63,  64:    |
256, 4, 10, left 6, 0,   1: F-4 I1 42, 4, 11, right 6, 0,   1: F#2 I2 16
257, 4, 10, left 6, 1,   2:    |, 4, 11, right 6, 1,   2:    |
258, 4, 10, left 6, 2,   3:    |, 4, 11, right 6, 2,   3:    |
259, 4, 10, left 6, 3,   4: F-4 I1 42, 4, 11, right 6, 3,   4:    |
260, 4, 10, left 6, 4,   5:    |, 4, 11, right 6, 4,   5:    |
261, 4, 10, left 6, 5,   6:    |, 4, 11, right 6, 5,   6:   ---
262, 4, 10, left 6, 6,   7: D#4 I1 44, 4, 11, right 6, 6,   7: G#2 I2 14
263, 4, 10, left 6, 7,   8:    |, 4, 11, right 6, 7,   8:    |
264, 4, 10, left 6, 8,   9:    |, 4, 11, right 6, 8,   9:    |
265, 4, 10, left 6, 9,  10:    |, 4, 11, right 6, 9,  10:    |
266, 4, 10, left 6, 10,  11:    |, 4, 11, right 6, 10,  11:    |
267, 4, 10, left 6, 11,  12:   ---, 4, 11, right 6, 11,  12:   ---
268, 4, 10, left 6, 12,  13: G#3 I1 50, 4, 11, right 6, 12,  13:    |
269, 4, 10, left 6, 13,  14: G#3 I1 50, 4, 11, right 6, 13,  14:    |
270, 4, 10, left 6, 14,  15: A#3 I1 48, 4, 11, right 6, 14,  15:    |
271, 4, 10, left 6, 15,  16: G#3 I1 50, 4, 11, right 6, 15,  16:    |
272, 4, 10, left 6, 16,  17: G#4 I1 28, 4, 11, right 6, 16,  17: F-2 I2 17
273, 4, 10, left 6, 17,  18:    |, 4, 11, right 6, 17,  18:    |
274, 4, 10, left 6, 18,  19:    |, 4, 11, right 6, 18,  19:    |
275, 4, 10, left 6, 19,  20:    |, 4, 11, right 6, 19,  20:    |
276, 4, 10, left 6, 20,  21: C-4 I1 46, 4, 11, right 6, 20,  21:    |
277, 4, 10, left 6, 21,  22:    |, 4, 11, right 6, 21,  22:   ---
278, 4, 10, left 6, 22,  23: C#4 I1 45, 4, 11, right 6, 22,  23: F#2 I2 16
279, 4, 10, left 6, 23,  24: C-4 I1 46, 4, 11, right 6, 23,  24:    |
280, 4, 10, left 6, 24,  25: A#3 I1 48, 4, 11, right 6, 24,  25:    |
281, 4, 10, left 6, 25,  26:    |, 4, 11, right 6, 25,  26:    |
282, 4, 10, left 6, 26,  27:    |, 4, 11, right 6, 26,  27:    |
